ground_truth,predicted,tanimoto_score
CSP1(=S)SP(=S)(SC)S1,CP(=S(=O)P=S)C,0.04790419161676647
O=C1SC(=O)C(Cl)=C1Cl,O=CN(C)N=O,0.02830188679245283
CC(C)(C)S/C(Cl)=C(\Cl)Br,CN(C)C(C)C(=S)S,0.04891304347826087
CC(O)C1=PC=PC=P1,,0.0
COC(=O)/C(=N\Cl)N(Cl)Cl,COCOC(Br)C(O)C,0.052845528455284556
[2H]C([2H])([2H])OCOC,CO(C(C)(C)(C)(C)OPC)OCCC,0.0
CCN1C(=O)CSC(Cl)C1Cl,C=CC1(C)(CO)C=NN(C(C)C)O1,0.0
N#CN=C1C=C2SC(=NC#N)C=C2S1,C1C(=C=O)N=C(C)N=CC=C1,0.10887772194304858
NC(CS(=O)(=O)O)P(=O)(O)O,NPP(=O)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,0.0
C=P(C1=CC=CC=C1)(C1CC1)C1CC1,C2C1(C)NN=C(C=N1)N2,0.1188707280832095
CP(F)(=S)Cl,CP(C)C#P(F)C,0.1076923076923077
CN1C=C(Cl)NC=C1Cl,CNC=CC=CC(=C)(C(=C)C=C)N(C)O,0.0
CC[C@@H]1CCC[C@H]1C,CCCCCC1CC1CCC,0.4375
BrC1CCC(Br)CC1,,0.0
CC(=O)C(=C=O)P(=S)(C(C)(C)C)C(C)(C)C,CC(C)(C)CNC(=O)(C(C)(C)C)(NC(C)(C)C)(NN=S(C)C)=C=NOC,0.0
C[C@]12C[C@H](CS(=O)C1)C1=C(C=CC(F)=C1)N2,C=CC1=CC=CC=C1,0.05211726384364821
NC(=O)ON1C=NN=N1,,0.0
N#CC(Cl)(N=S=O)C(Cl)(Cl)Cl,CCC(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,0.0
CCSCCSP(C)(=O)OC(C)(C)C(C)(C)O,CC(=O)ONC(=O)N(N)N,0.058577405857740586
CCOC(C)=NC1=NOC(C)=C1,COC(=O)CN1NCC(OC)=N1,0.08277027027027027
C1=CN(ON2C=CN=N2)N=N1,FO2C=NN(=C1C=NN=C1)S2,0.0
CC1=C(Cl)C=CP(Cl)C1,C(C1OO1)C=CC,0.05128205128205128
N#CC1C=NNC1N,N1C=CN=C1CN,0.04145077720207254
CCOC1(SC)OS1,CSC(C)(S)C,0.06535947712418301
CC(=O)SCC(=O)C1=CC=CN1,CC=C2C=CC(=CC=CC1=CC=CC=C1)S2,0.10216110019646366
CCOCCON=O,CC(C)C(C)SCC(C)=CSC(C)SCC,0.037209302325581395
CN(C)NC(=S)N(C)N,C1=NSC(C)=N(CC)=N1,0.0
O=[N+]([O-])C1NN=CN1Br,O=S(=O)(O)SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,0.020134228187919462
C1=NN=NN1C1=NNN=N1,C#CCC#CC1(C#N)CC#CC1C#N,0.0625
BrCC1=NN=CO1,CC=CC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)CC,0.02702702702702703
