ground_truth,predicted,tanimoto_score
CSP1(=S)SP(=S)(SC)S1,CSC(=S)C=NC(C)(C)C,0.013761467889908258
O=C1SC(=O)C(Cl)=C1Cl,O=C(C)(C)C,0.0
CC(C)(C)S/C(Cl)=C(\Cl)Br,CC(C)(C)P(=O)(C)(C)N(C)C,0.0
CC(O)C1=PC=PC=P1,C=CPC(=C)(Br)CC,0.0
COC(=O)/C(=N\Cl)N(Cl)Cl,COC(=O)(C)(C)C(=O)N,0.0
[2H]C([2H])([2H])OCOC,C(OC)S(=O)(=O)(C)C,0.0
CCN1C(=O)CSC(Cl)C1Cl,CCN=C(C(=O)OC)C(O)C,0.09057971014492754
N#CN=C1C=C2SC(=NC#N)C=C2S1,,0.0
NC(CS(=O)(=O)O)P(=O)(O)O,NP(N)(=O)(O)(C)(C)C,0.0
C=P(C1=CC=CC=C1)(C1CC1)C1CC1,C=CC1=CC2=CC=C1C(C)=C2,0.09164969450101833
CP(F)(=S)Cl,CN(C)P(=S)P,0.0847457627118644
CN1C=C(Cl)NC=C1Cl,CN1C=CN=C(N(C)C)=C1,0.0
CC[C@@H]1CCC[C@H]1C,CC(C)CCC(C)CC1C(C)CCC1C,0.7333333333333333
BrC1CCC(Br)CC1,,0.0
CC(=O)C(=C=O)P(=S)(C(C)(C)C)C(C)(C)C,CC(C)C(=O)(OC(C)(C)N(C)C)N(C)C,0.0
C[C@]12C[C@H](CS(=O)C1)C1=C(C=CC(F)=C1)N2,CC=CC2=CCCC1=CC=CC1C2CC3C(O)CC(O)O3,0.18120237087214225
NC(=O)ON1C=NN=N1,C=NS1C=CN=N1,0.05384615384615385
N#CC(Cl)(N=S=O)C(Cl)(Cl)Cl,O=CC(O)C(O)O,0.043478260869565216
CCSCCSP(C)(=O)OC(C)(C)C(C)(C)O,CCC(C)OSNC(=O)(P)C(=O)P,0.0
CCOC(C)=NC1=NOC(C)=C1,CONON(O)CNNC1C(O)COC1C,0.10420168067226891
C1=CN(ON2C=CN=N2)N=N1,FC=NN=C1N=CC=N1,0.03802281368821293
CC1=C(Cl)C=CP(Cl)C1,CCC=C(C)C1CN(O)C1,0.075
N#CC1C=NNC1N,CC1=NCCC1N,0.0967741935483871
CCOC1(SC)OS1,CCSC(C)P=SC,0.047619047619047616
CC(=O)SCC(=O)C1=CC=CN1,CC(=O)CCC(N)C1=CC=CC=C1,0.12300683371298406
CCOCCON=O,CN(=S)OS(=O)(=O)OO,0.0
CN(C)NC(=S)N(C)N,N1C(N)C=SN=C1,0.0658682634730539
O=[N+]([O-])C1NN=CN1Br,O=C1NS(C)S(Br)S1,0.07360406091370558
C1=NN=NN1C1=NNN=N1,,0.0
BrCC1=NN=CO1,CCCCC1=CC=CC=C1,0.045454545454545456
O=S=C(F)C(F)(F)F,CC=NC(=O)NC(C)C(F)(F)F,0.08374384236453201
N#CN=C(CCl)N=S1CCOCC1,C#CN1CNC2CCC1O2,0.08704061895551257
N#CC(Br)CS(=O)(=O)CBr,C=CCCCC(C)(C)C#N,0.06060606060606061
CCOC1=C(P)N=NN1OCC,CSC(=O)NN=CCS(F)F,0.04206500956022945
CCOC1=NN=CS1,C1COC=CNN=C2C=CN=C12,0.045174537987679675
N=C(N)C(Br)Br,NC(O)C(Br)Br,0.36
NN1C=CN(CCCO)N1,CN=SC1CCCC1CCCCCC,0.060790273556231005
ClP(Cl)N1CCOP1Cl,,0.0
CCOP(=S)(NP(=S)(OCC)OCC)OCC,CCCOP(=O)(CC)O(P(=O)OC)OP(=O)(OC)P(OC)O(P(=O)OC)OP(=O)(OC)O(P(=O)OC)OP(=O)(OC)OP(=O)OC,0.0
CC1=C(OC(=O)Cl)N=CS1,,0.0
N[C@@H](CO)C(=O)O,O=C(O)CC(O)C(=O)O,0.2545454545454545
COP(=O)(O)NS(C)(=O)=O,COP(=O)(O)(C)SO(C)(=O)=O,0.0
ClOC1=NC(OCl)=NC(OCl)=N1,,0.0
C=COOC(C)Br,C=COOC=CC,0.3103448275862069
CS(=O)(=O)C1N=NN=N1,O=CNC(=O)(C)C,0.0
CS(=O)(=O)NN(S(C)(=O)=O)S(C)(=O)=O,CS(=O)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC,0.0
CCCSC(CC(=O)NC(C)(C)C)=C(Cl)Cl,CC1(C)(C)OCC(N=CNC(C)(C)C)N1,0.0
CC1=CSC(C)=C1C=O,CCCCCCC1(C)CCCC1CC,0.022222222222222223
CN(C)S(=O)(=O)N1CCN(N(CC#N)N=O)CC1,CC(C)(C)CCC=N(C=CC)C(C)(C)(=O)(=O)C(C)(C)=O,0.0
CCP(CC)C1=NC=CN=C1,,0.0
[2H]C([2H])=C1CCC1([2H])[2H],CC=CC1(OC)CCC=C1CC2CCC=C2CCCCCC(=C)C=CC=C3CCC=C3CC4CCC=C4CCCCCC(=C)C=CC=C5CCC=C5CC6CCC=C6CCCCCC,0.08881578947368421
O=S(=O)(O)C1=CC=C(SC2=CC=CC=C2)C=C1,,0.0
O=CC1=CC(=O)N=N1,,0.0
COC(OC)=C(OC)OC,CO1C(O)(OC)SS1,0.0
C1=CN=C(C2=NNC(C3=NC=CC=N3)=NN2)N=C1,C=NC=NC2=NC(=NC1=NC=CC=N1)NO2,0.15890850722311398
[2H]C([2H])([2H])SSSC([2H])([2H])[2H],O=SOC(=O)(C)(C)C,0.0
CC[C@@H]1[C@@H](N)C[C@@H](C2=CC=CC=C2)S[C@H]1C1=CC=CC=C1,CC(N)CC1=CC=CC=C1,0.16404886561954624
FC(F)(F)C(Cl)OC(Cl)(Cl)Cl,CC(C)(C)(Br)C(C)Br,0.0
C=C1C=C/C(=C/Br)O1,C1(=CC=CC=C1)O,0.04
O=C(F)O[P+](F)(F)OC(=O)F,C1NC(=S)(CCC)C(=O)CC1,0.0
CC(=O)CSN1C(C)=CNN1C,CCCCCCOCC(CO)CCCCCOCC(CO)CC(CO)CCCCCOCC(CO)CC(CO)CCCCCOCC(CO)CCCO,0.06540084388185655
N[C@@H](CS)C(=O)O,,0.0
CC(=O)NN/C(N)=C/C#N,N#CNC(=O)NC(N)C,0.10344827586206896
O=C1NC(=O)N(C(F)(F)F)C(F)(F)N1C(F)(F)F,CSC=CC(=N)(C(F)(F)F)C(F)(F)F,0.0
C=C1OC(=S)OC1=C,C=C(C)C=CSCS(C)C1=NCSC1=O,0.042316258351893093
CC1=NOCC(Cl)S1,CCSC1=CN=CCS1,0.08856088560885608
COCN(O)COC,CCC(O)C(C)C,0.027777777777777776
CC(=O)OP(=O)(F)F,C=CPO1(P(=O)(C)C)CO1,0.0
CO/C(SC)=C(\OC)SC,CO(C)P=C(Br)Br,0.0
CC(C)=C1N(C)N=NN1C,CN(C)C1NN=NN1C,0.23106060606060605
CNC(=O)NCS(=O)O,NN(C)CN(=N)O,0.0
O=P(F)(Cl)C1CCCCC1Cl,O=COC2(=O)CC1CCCCC1CO2,0.0
CC1=NSC(C(Cl)(Cl)Cl)O1,C=C(O)C(=CS)C(C)C,0.0784313725490196
FN(Cl)C(F)(F)C(F)(F)F,O(C(F)(F)F)C(F)(F)F,0.05063291139240506
OC(SF)SF,,0.0
C=C1N(SC)C=CN1SC,CNS1NC=CC=N1,0.061371841155234655
O=S1(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,,0.0
O=S(=O)(Br)CF,OP(C(=O)O)P(=O)O,0.021897810218978103
CCO/C(=N/S(C)(=O)=O)NO,C(O)CCN=N(CC)(O)C(=O)O,0.0
CCN(CC)P(C1=NC=CN1)N(CC)CC,CCN(CC)P(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)N(CC)NC,0.1223529411764706
O=P(O)(CCl)CCl,CN(C)CC1N=N1,0.02040816326530612
[2H]C1OC(=O)C([2H])([2H])OC1=O,O(=C(C)CO)C(=O)C,0.0
CC(C)N(C(C)C)P(C#N)/C=N/CN(C)C,C=CN=NNC(=C)C(=C)C,0.0804953560371517
CNC(=O)C1=C(Cl)SN=N1,CC1=NS2N=C1N(N)C2,0.12464183381088825
NN1NN=CC(=O)C1=O,O=CCC1CCOC=N1,0.04632152588555858
FN(F)N(F)F,N=NN(F)C#N,0.14893617021276595
F/N=C(\C(F)(F)F)C(F)(F)N(Cl)Cl,CC(F)(F)(C=CC(F)(F)F)C(F)(F)F,0.0
NC(N)=NC(S)C1=CSC=N1,NCCCCC(N)=N1(N)=NC=CS1,0.0
COC1=NC(Cl)N=CN1,CCNCC1CC=C(N)CC1,0.07164179104477612
CC(C)(C)C(P)=S,CC(C)C1(=O)C2(C)(C)C1(C)C2(C)C,0.0
[2H]C([2H])([2H])C([2H])(NC(N)=S)C([2H])([2H])[2H],,0.0
CSC(=O)C#CC(C)(C)N(C)C,CNN1N2(C)C1(C)C2(C)C,0.0
NN1C(CC2=NNC(=S)N2N)=NNC1=S,NC=NC=NC=N2C1=NC=NC1CC3=NNN=C23,0.0
OC1=CSSC=C1O,OC=CC(O)C=C1(CO)C=CC(O)C=C1,0.0
C1CN2CCSP2S1,CC(C)N=S1(C)CCCN1=O,0.0
O=S(=O)(O)OC1=NC=NC=C1,O=S(=O)OCN(=O)OON1C=CC=C1,0.0
CN(C=O)/N=N/N(C)C=O,O=C(NC=O)NCCNC=O,0.08130081300813008
ClC(Cl)(Cl)C1=NOC=N1,O=CCNON(O)CNC1=COC=N1,0.0582010582010582
O=S(=O)(F)C1=NC=CS1,,0.0
CC(C)(C#N)N(O)CN(O)C(C)(C)C#N,CC(C)C=CC(C)(C)C=C(C)C#N,0.07883817427385892
NOC(N)(N)ON,NCCC(N)(CO)CO,0.037037037037037035
CSC1=NC(SC)=C(C)O1,CS1C2=CC(OC)=C1C(SC)C2,0.13785557986870897
O=C(C1=COC=C1)C(F)(F)F,O=COC(=O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C(O)C,0.08
C1=CNC(C2=NC=CN2)=N1,C3=CC2=NC1=NN=CC=C1N2N3,0.05855161787365177
CCCCC#C[C@@H](O)CF,CC(C)C=CC(C)C(=O)O,0.08053691275167785
O=C1C(O)=C(P(=O)(O)O)C1=O,O=C(O)C(=O)(C)(=C)C(=O)O,0.0
CSN1OC(=O)N(C)C1=O,CN1C=CPCN1,0.03397027600849257
CN(CP(=O)(O)CN(C)S(C)(=O)=O)S(C)(=O)=O,O=P1OPNP=C1,0.07957559681697612
CN=CNP(=S)(OC)SC(C)C,CN(C)C=P(C)C,0.018115942028985508
CCP(CC)NCC(C)C,CCN(CC)C(=CC)OCC,0.03669724770642202
CN1N2CN3CN(C2)N(C)P1N3C,,0.0
CCSP(=O)(Cl)OC,CC(C)(N(C)C)(P(=O)C)S(=O)(=O)(OC)S(=O)(=O)(OC)S(=O)(=O)(OC)S(=O)(=O)(OC)S(=O)(=O)(OC)S(=O)(=O)(OC)S=O,0.0
N#C/C(Cl)=N/SN1CCOCC1,CN=S(C)C(=O)NC(C)C(=O)OC,0.09112709832134293
CC(=S)NOC(=O)NCSCNC(=O)ONC(C)=S,CCOC(=O)COC(=O)CCC(=O)OC(C)=O,0.056666666666666664
CC1=CSC(=O)NC1=O,C=CC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)NC(=O)N,0.048
COP(C)(=O)OCP(=O)(OC)OC,COOP(=O)OO(C)(=O)OCC,0.0
S=C1C(=S)C(S)C1S,Br1C(Br)=C(Br)S1,0.0
ON1CSCCSC1,OC(Br)C1SCC(=CC)CS1,0.07692307692307693
C=[N+](C)NO[N+](=C)NC,FNN(F)NN(F)F,0.0234375
CN(C)N(P(F)(F)=S)P(F)(F)=S,C(C)P(=S)N(F)(F)(F)(F)F,0.0
CS(C)(C(O)O)C(O)O,,0.0
CN(C)S(=O)(=O)NN1C=NN=C1,CNC(=O)CC(=CC#N)S(=O)(=O)=O,0.0
C1=CC2=NON=C2N=C1,,0.0
OC1=C(Br)C=CC(Br)=C1Cl,O=COC=CC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C=NC=CC(Br)=C(O)C,0.07051282051282051
CN1C=C(Cl)N=C1C#N,,0.0
CCN1C=CS/C1=N/N=O,SN=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C(=O)(N=C=O)N=C=O,0.0
NN(N)C(CO)OCCOCCO,,0.0
N#CC(F)(F)OC(F)(F)F,C(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)F,0.0
N#CC(C#N)=N/C(C#N)=C(\N)Cl,C(C)NC,0.03723404255319149
C[C@H]1C[C@@H]2CCC[C@@H]2S1=O,C2C1CC3CC1(C)CCCCC23,0.13945578231292516
C1=C2C=CC=NC2=NCO1,C2=CNCC1=CC=CN=C12,0.13609467455621302
C1=CN2NN=NC2=C1,N#CC=CCN=CCN(CC1C=NN=C1)N(=S)CC,0.0
CSC1=NSC(SC)=C1N,CS(C)(C)(C)C,0.00911854103343465
[2H]/C(C#N)=C(\[2H])S/C([2H])=C(/[2H])C#N,,0.0
O=S=P(Cl)(Cl)Cl,OPN(P)(P)C,0.0
NC(=O)N(F)F,OC=CCC(N)=NC(N)=NCN,0.038461538461538464
O=S(=O)(OO)S(=O)(=O)OO,O=P(O)(O)(O)O,0.0
O=S(=O)(/C=C\S(=O)(=O)CCl)CCl,CC1(O)COP(N)(=O)O1,0.043227665706051875
NC(=S)C=S,NC=NCC(N)C=CC,0.06451612903225806
CN(C)S(F)(N(C)C)N(C)C,CN(C)NCNC(N)(C)C,0.04964539007092199
CC1(C)[C@@H]2C3C4C3C4[C@@H]21,CC(C)C1C3(C)CC1C2(F)CCC2C3(C)C(C)C5(C)C(C)C(C)C4(C)C(C)CC4C5(C)C(C)C7(C)C(C)C(C)C6(C)C(C)CC6C7(C)CC,0.33460076045627374
CCCC/C(N)=N/OC(=S)N1C=CN=C1,CCC(NC1=CC=CS1)NC(=O)NC2=CC=CS2,0.11027190332326284
[2H]C1=NC([2H])=NC([2H])=N1,O=CC=CP=CPNC=CS1C=C(C)C=CS1,0.014970059880239521
CNP(=O)(C(F)(F)F)C(F)(F)F,C(C)C=PCF,0.042682926829268296
CP(C)(=S)C(P(C)(C)=S)P(C)(C)=S,CSP(=O)(=O)O(C)C,0.0
ClC1=NC2=C(S1)SC(Cl)=N2,CO1C=CC(=S=O)O1,0.0
CN1SN=C(Cl)C1=O,CN(C)C,0.004901960784313725
[2H]C1(C#C)CC1,,0.0
FC1=NN=C(F)C(SC(F)(F)F)=C1SC(F)(F)F,O,0.0
CC(C)[C@]12CC[C@@H](C)[C@H](CO1)C2,,0.0
