ground_truth,predicted,tanimoto_score
CSP1(=S)SP(=S)(SC)S1,CS(C)(C)P(=S)(S)S(=O)=O,0.15165876777251186
O=C1SC(=O)C(Cl)=C1Cl,O=C(O)C(=O)NC(=O)C,0.043010752688172046
CC(C)(C)S/C(Cl)=C(\Cl)Br,CNO(C(C)(C)P(=O)C(C)C)NC(=O)F,0.0
CC(O)C1=PC=PC=P1,CSC=NC1=CC=NC=N1,0.045112781954887216
COC(=O)/C(=N\Cl)N(Cl)Cl,C=C(C)(C)(C)(C)N(CC)P(=O)(C)NC,0.0
[2H]C([2H])([2H])OCOC,COC(C)(C(N)C)P(=O)O,0.02888086642599278
CCN1C(=O)CSC(Cl)C1Cl,,0.0
N#CN=C1C=C2SC(=NC#N)C=C2S1,S=C=NCCC1=C=NP=C12N=CCC=C2N=C=S,0.0
NC(CS(=O)(=O)O)P(=O)(O)O,NN(C)S(C)S(=O)(=O)C(N)=O,0.0851528384279476
C=P(C1=CC=CC=C1)(C1CC1)C1CC1,CC2(C)=CC=C1(CC1)=N2,0.0
CP(F)(=S)Cl,CNP(N)(C)C,0.05263157894736842
CN1C=C(Cl)NC=C1Cl,CSC=NC=NPN(C)C(=C)C,0.058365758754863814
CC[C@@H]1CCC[C@H]1C,C1C(C)CCC(C)(CC)C1,0.4411764705882353
BrC1CCC(Br)CC1,SCCC2C1CCCCC1CCC24C3CCCCC3CCC46C5CCCCC5CCC68C7CCCCC7CCC8%10C9CCCCC9CCC%10CCCC,0.0851063829787234
CC(=O)C(=C=O)P(=S)(C(C)(C)C)C(C)(C)C,,0.0
C[C@]12C[C@H](CS(=O)C1)C1=C(C=CC(F)=C1)N2,CCCCCC1C(=O)OC(C)S1,0.1581439393939394
NC(=O)ON1C=NN=N1,C1N=CN=N1,0.03980099502487562
N#CC(Cl)(N=S=O)C(Cl)(Cl)Cl,N#CC(C)OC(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,0.0
CCSCCSP(C)(=O)OC(C)(C)C(C)(C)O,CC(C)(C)NS(=O)(=O)N(N)S,0.07058823529411765
CCOC(C)=NC1=NOC(C)=C1,,0.0
C1=CN(ON2C=CN=N2)N=N1,,0.0
CC1=C(Cl)C=CP(Cl)C1,CC=CN=NC1CO1,0.046357615894039736
N#CC1C=NNC1N,N#C1CCS(N)C1,0.0
CCOC1(SC)OS1,CCOC(CC)SC(C)C,0.14285714285714285
CC(=O)SCC(=O)C1=CC=CN1,,0.0
CCOCCON=O,CCC(C)(O)C(C)CCC=N,0.04
CN(C)NC(=S)N(C)N,CN(C)C(N)(=NCC)NC,0.0
O=[N+]([O-])C1NN=CN1Br,N#CC1(OC)C=NNC1=O,0.09158878504672897
C1=NN=NN1C1=NNN=N1,C=NN=C1C=CN=C1C,0.038781163434903045
BrCC1=NN=CO1,CC=C2C1=C(C=CC=C1)OOC2=O,0.045662100456621
O=S=C(F)C(F)(F)F,CSC=NNC=N1NN=CC1=O,0.0
N#CN=C(CCl)N=S1CCOCC1,N#CNC=CNCC=CC1=COC=C1,0.07124681933842239
N#CC(Br)CS(=O)(=O)CBr,C1C(C)CC(N)O1,0.02666666666666667
